,date,time,comp,round,day,venue,result,gf,ga,opponent,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,pk,pkatt,season,team
20,2022-01-08,19:06,Liga MX,Clausura 2022 Regular Season,Sat,Home,D,0,0,Querétaro,62.0,18926.0,César Montes,4-2-3-1,Edgar Morales,Match Report,,25,9,,0,0,2022,Monterrey
21,2022-01-14,21:00,Liga MX,Clausura 2022 Regular Season,Fri,Away,W,4,0,Necaxa,37.0,8921.0,César Montes,4-2-3-1,Fernando Hernández,Match Report,,20,7,,0,0,2022,Monterrey
22,2022-01-22,21:06,Liga MX,Clausura 2022 Regular Season,Sat,Home,D,2,2,Cruz Azul,65.0,16508.0,César Montes,4-3-3,César Arturo Ramos,Match Report,,19,6,,0,0,2022,Monterrey
23,2022-02-18,19:00,Liga MX,Clausura 2022 Regular Season,Fri,Away,L,0,1,Puebla,62.0,25934.0,César Montes,3-4-3,Oscar Mejia,Match Report,,24,4,,0,1,2022,Monterrey
24,2022-02-26,17:06,Liga MX,Clausura 2022 Regular Season,Sat,Home,L,0,2,Atlético,65.0,24507.0,César Montes,4-3-3,Diego Montaño,Match Report,,19,4,,0,0,2022,Monterrey
25,2022-03-01,21:00,Liga MX,Clausura 2022 Regular Season,Tue,Away,D,0,0,León,40.0,10581.0,César Montes,4-2-3-1,Luis Santander,Match Report,,15,5,,0,1,2022,Monterrey
26,2022-03-05,19:06,Liga MX,Clausura 2022 Regular Season,Sat,Home,W,2,1,América,48.0,40327.0,Celso Ortiz,4-2-3-1,Erick Miranda,Match Report,,12,6,,0,0,2022,Monterrey
27,2022-03-11,21:06,Liga MX,Clausura 2022 Regular Season,Fri,Home,W,2,1,Mazatlán,41.0,27012.0,Celso Ortiz,4-2-3-1,Daniel Quintero,Match Report,,10,5,,0,0,2022,Monterrey
28,2022-03-15,21:06,Liga MX,Clausura 2022 Regular Season,Tue,Home,W,3,0,FC Juárez,66.0,29052.0,Celso Ortiz,4-2-3-1,Victor Caceres,Match Report,,25,9,,0,0,2022,Monterrey
29,2022-03-19,19:00,Liga MX,Clausura 2022 Regular Season,Sat,Away,L,0,2,UANL,41.0,41473.0,Celso Ortiz,4-2-3-1,Jorge Pérez,Match Report,,12,2,,0,0,2022,Monterrey
30,2022-04-06,19:00,Liga MX,Clausura 2022 Regular Season,Wed,Away,D,2,2,Toluca,39.0,10150.0,Celso Ortiz,4-4-1-1,Eduardo Galván,Match Report,,11,3,,1,1,2022,Monterrey
31,2022-04-09,19:06,Liga MX,Clausura 2022 Regular Season,Sat,Home,W,1,0,Santos,56.0,29769.0,Celso Ortiz,4-2-3-1,Marco Ortíz,Match Report,,20,5,,0,1,2022,Monterrey
32,2022-04-13,20:05,Liga MX,Clausura 2022 Regular Season,Wed,Away,W,3,1,Guadalajara,41.0,24247.0,Celso Ortiz,4-4-1-1,Diego Montaño,Match Report,,11,6,,0,0,2022,Monterrey
33,2022-04-17,12:00,Liga MX,Clausura 2022 Regular Season,Sun,Away,L,0,2,UNAM,58.0,17167.0,César Montes,4-2-3-1,Erick Miranda,Match Report,,17,5,,0,0,2022,Monterrey
34,2022-04-20,21:06,Liga MX,Clausura 2022 Regular Season,Wed,Home,D,0,0,Atlas,46.0,31426.0,Celso Ortiz,4-2-3-1,César Arturo Ramos,Match Report,,13,2,,0,1,2022,Monterrey
35,2022-04-23,17:00,Liga MX,Clausura 2022 Regular Season,Sat,Away,L,0,3,Pachuca,55.0,8041.0,César Montes,3-5-2,Luis Santander,Match Report,,13,0,,0,0,2022,Monterrey
36,2022-04-30,19:06,Liga MX,Clausura 2022 Regular Season,Sat,Home,W,2,0,Tijuana,56.0,28642.0,Celso Ortiz,4-2-3-1,Daniel Quintero,Match Report,,26,9,,0,0,2022,Monterrey
37,2022-05-07,20:06,Liga MX,Reclassification,Sat,Home,D,2 (1),2 (3),Atlético,59.0,38614.0,Celso Ortiz,4-4-1-1,Jorge Pérez,Match Report,Atlético won on penalty kicks following extra time,19,4,,0,0,2022,Monterrey
0,2021-07-24,21:00,Liga MX,Apertura 2021 Regular Season,Sat,Home,L,1,2,Atlético,69.0,11647.0,Jesús Sánchez García,4-4-2,Eduardo Basulto,Match Report,,14,5,,1,1,2022,Guadalajara
1,2021-07-30,21:05,Liga MX,Apertura 2021 Regular Season,Fri,Away,W,2,0,Puebla,47.0,6800.0,Jesús Molina,3-4-3,Fernando Guerrero,Match Report,,10,3,,0,0,2022,Guadalajara
2,2021-08-07,17:00,Liga MX,Apertura 2021 Regular Season,Sat,Home,D,2,2,FC Juárez,65.0,9208.0,Jesús Molina,3-4-3,Fernando Hernández,Match Report,,18,5,,0,0,2022,Guadalajara
3,2021-08-15,19:06,Liga MX,Apertura 2021 Regular Season,Sun,Away,D,0,0,Santos,47.0,13082.0,Jesús Sánchez García,4-4-2,Luis Santander,Match Report,,14,6,,0,0,2022,Guadalajara
4,2021-08-18,21:00,Liga MX,Apertura 2021 Regular Season,Wed,Home,L,0,3,León,51.0,10892.0,Jesús Sánchez García,4-4-2,Adonai Escobedo,Match Report,,17,4,,0,0,2022,Guadalajara
5,2021-08-21,21:36,Liga MX,Apertura 2021 Regular Season,Sat,Away,D,0,0,Monterrey,51.0,15467.0,Jesús Molina,4-4-2,Diego Montaño,Match Report,,12,3,,0,0,2022,Guadalajara
6,2021-08-28,17:00,Liga MX,Apertura 2021 Regular Season,Sat,Home,W,2,1,Necaxa,65.0,9603.0,Jesús Molina,4-2-3-1,Jorge Rojas,Match Report,,16,6,,1,1,2022,Guadalajara
7,2021-09-12,17:00,Liga MX,Apertura 2021 Regular Season,Sun,Away,D,0,0,UNAM,54.0,,Jesús Molina,4-2-3-1,Fernando Guerrero,Match Report,,10,2,,0,0,2022,Guadalajara
8,2021-09-18,21:00,Liga MX,Apertura 2021 Regular Season,Sat,Home,W,1,0,Pachuca,48.0,11135.0,Jesús Molina,4-2-3-1,Diego Montaño,Match Report,,9,2,,0,0,2022,Guadalajara
9,2021-09-25,21:00,Liga MX,Apertura 2021 Regular Season,Sat,Away,D,0,0,América,45.0,42862.0,Jesús Molina,4-3-3,César Arturo Ramos,Match Report,,6,3,,0,0,2022,Guadalajara
10,2021-09-29,21:15,Liga MX,Apertura 2021 Regular Season,Wed,Away,L,0,1,Querétaro,68.0,6812.0,Gilberto Sepúlveda,4-2-3-1,Luis Santander,Match Report,,20,10,,0,0,2022,Guadalajara
11,2021-10-02,21:00,Liga MX,Apertura 2021 Regular Season,Sat,Home,L,0,1,Atlas,31.0,21709.0,Jesús Molina,4-2-3-1,Fernando Guerrero,Match Report,,6,1,,0,0,2022,Guadalajara
12,2021-10-17,17:00,Liga MX,Apertura 2021 Regular Season,Sun,Home,W,2,0,Toluca,52.0,15019.0,Jesús Molina,4-3-3,Fernando Hernández,Match Report,,14,6,,0,0,2022,Guadalajara
13,2021-10-20,19:06,Liga MX,Apertura 2021 Regular Season,Wed,Away,D,0,0,Tijuana,67.0,10333.0,Miguel Ángel Ponce,4-2-3-1,Juan Esquivel,Match Report,,11,6,,0,0,2022,Guadalajara
14,2021-10-23,21:00,Liga MX,Apertura 2021 Regular Season,Sat,Home,D,1,1,Cruz Azul,55.0,20492.0,Jesús Molina,4-2-3-1,Marco Ortíz,Match Report,,7,3,,0,0,2022,Guadalajara
15,2021-10-30,21:10,Liga MX,Apertura 2021 Regular Season,Sat,Away,L,1,2,UANL,54.0,25523.0,Jesús Molina,4-2-3-1,Diego Montaño,Match Report,,11,2,,0,0,2022,Guadalajara
16,2021-11-05,20:00,Liga MX,Apertura 2021 Regular Season,Fri,Away,W,1,0,Mazatlán,58.0,12830.0,Jesús Molina,4-3-3,Jorge Rojas,Match Report,,10,3,,0,0,2022,Guadalajara
17,2021-11-20,21:00,Liga MX,Reclassification,Sat,Away,D,2 (5),2 (6),Puebla,54.0,34530.0,Jesús Molina,4-2-3-1,Marco Ortíz,Match Report,Puebla won on penalty kicks following extra time,10,4,,0,0,2022,Guadalajara
18,2022-01-09,18:00,Liga MX,Clausura 2022 Regular Season,Sun,Home,W,3,0,Mazatlán,70.0,19565.0,Isaác Brizuela,4-3-3,César Arturo Ramos,Match Report,,15,8,,1,1,2022,Guadalajara
19,2022-01-16,17:00,Liga MX,Clausura 2022 Regular Season,Sun,Away,L,1,2,Pachuca,59.0,6692.0,Isaác Brizuela,4-1-4-1,Adonai Escobedo,Match Report,,11,2,,1,1,2022,Guadalajara
20,2022-01-22,17:00,Liga MX,Clausura 2022 Regular Season,Sat,Home,D,1,1,Querétaro,65.0,15193.0,Sergio Adrián Flores,4-3-3,Diego Montaño,Match Report,,17,8,,0,0,2022,Guadalajara
21,2022-02-09,18:00,Liga MX,Clausura 2022 Regular Season,Wed,Away,W,3,1,FC Juárez,56.0,7801.0,Isaác Brizuela,4-4-2,Brian Gonzalez,Match Report,,12,5,,0,0,2022,Guadalajara
22,2022-02-12,17:00,Liga MX,Clausura 2022 Regular Season,Sat,Home,L,1,3,UANL,57.0,22564.0,Isaác Brizuela,4-4-2,Jorge Pérez,Match Report,,12,4,,0,0,2022,Guadalajara
23,2022-02-19,21:00,Liga MX,Clausura 2022 Regular Season,Sat,Away,L,1,2,León,56.0,16204.0,Isaác Brizuela,4-2-3-1,Fernando Guerrero,Match Report,,13,6,,0,0,2022,Guadalajara
24,2022-02-26,19:00,Liga MX,Clausura 2022 Regular Season,Sat,Home,L,2,3,Puebla,51.0,19747.0,Isaác Brizuela,4-2-3-1,Fernando Hernández,Match Report,,15,6,,0,0,2022,Guadalajara
25,2022-03-02,21:00,Liga MX,Clausura 2022 Regular Season,Wed,Away,D,2,2,Atlético,64.0,14630.0,Isaác Brizuela,3-4-3,César Arturo Ramos,Match Report,,12,5,,0,0,2022,Guadalajara
26,2022-03-05,21:00,Liga MX,Clausura 2022 Regular Season,Sat,Home,W,1,0,Santos,59.0,18522.0,Isaác Brizuela,3-4-3,Victor Caceres,Match Report,,14,1,,0,0,2022,Guadalajara
27,2022-03-12,21:00,Liga MX,Clausura 2022 Regular Season,Sat,Home,D,0,0,América,63.0,33047.0,Isaác Brizuela,4-3-3,Jorge Pérez,Match Report,,14,1,,0,0,2022,Guadalajara
28,2022-03-20,19:00,Liga MX,Clausura 2022 Regular Season,Sun,Away,D,1,1,Atlas,56.0,19017.0,Isaác Brizuela,4-2-3-1,César Arturo Ramos,Match Report,,12,5,,0,0,2022,Guadalajara
29,2022-04-09,19:00,Liga MX,Clausura 2022 Regular Season,Sat,Away,D,1,1,Toluca,40.0,20166.0,Isaác Brizuela,4-3-3,Óscar Macias,Match Report,,9,2,,0,0,2022,Guadalajara
30,2022-04-13,20:05,Liga MX,Clausura 2022 Regular Season,Wed,Home,L,1,3,Monterrey,60.0,24247.0,Isaác Brizuela,4-3-3,Diego Montaño,Match Report,,11,3,,1,1,2022,Guadalajara
31,2022-04-16,21:00,Liga MX,Clausura 2022 Regular Season,Sat,Away,W,1,0,Cruz Azul,41.0,21280.0,Sergio Adrián Flores,5-3-2,Jorge Pérez,Match Report,,13,5,,0,0,2022,Guadalajara
32,2022-04-19,21:00,Liga MX,Clausura 2022 Regular Season,Tue,Home,W,2,1,Tijuana,44.0,20945.0,Isaác Brizuela,3-5-1-1,Adonai Escobedo,Match Report,,16,5,,0,0,2022,Guadalajara
33,2022-04-23,21:00,Liga MX,Clausura 2022 Regular Season,Sat,Home,W,3,1,UNAM,53.0,31767.0,Hiram Mier,5-3-2,Óscar Macias,Match Report,,9,6,,0,0,2022,Guadalajara
34,2022-04-29,19:00,Liga MX,Clausura 2022 Regular Season,Fri,Away,W,1,0,Necaxa,50.0,20537.0,Hiram Mier,5-3-2,César Arturo Ramos,Match Report,,9,3,,0,0,2022,Guadalajara
35,2022-05-08,19:15,Liga MX,Reclassification,Sun,Home,W,4,1,UNAM,47.0,37508.0,Hiram Mier,3-4-3,Marco Ortíz,Match Report,,9,7,,0,0,2022,Guadalajara
36,2022-05-12,21:05,Liga MX,Quarter-finals,Thu,Home,L,1,2,Atlas,60.0,34780.0,Hiram Mier,3-4-3,Jorge Pérez,Match Report,Leg 1 of 2,12,4,,0,0,2022,Guadalajara
37,2022-05-15,18:00,Liga MX,Quarter-finals,Sun,Away,D,1,1,Atlas,61.0,32746.0,Hiram Mier,3-4-3,Fernando Hernández,Match Report,Leg 2 of 2; Atlas won,19,4,,0,0,2022,Guadalajara
0,2021-07-23,19:00,Liga MX,Apertura 2021 Regular Season,Fri,Away,W,3,0,Necaxa,46.0,9153.0,Carlos Acevedo,4-2-3-1,Jorge Pérez,Match Report,,15,6,,0,0,2022,Santos Laguna
1,2021-08-01,18:00,Liga MX,Apertura 2021 Regular Season,Sun,Home,D,1,1,Cruz Azul,68.0,12200.0,Carlos Acevedo,4-2-3-1,Jorge Rojas,Match Report,,9,3,,1,2,2022,Santos Laguna
2,2021-08-07,21:00,Liga MX,Apertura 2021 Regular Season,Sat,Away,D,1,1,UANL,49.0,14350.0,Carlos Acevedo,4-2-3-1,Marco Ortíz,Match Report,,13,5,,0,0,2022,Santos Laguna
3,2021-08-15,19:06,Liga MX,Apertura 2021 Regular Season,Sun,Home,D,0,0,Guadalajara,53.0,13082.0,Hugo Isaác Rodríguez,4-4-2,Luis Santander,Match Report,,9,1,,0,0,2022,Santos Laguna
4,2021-08-18,19:00,Liga MX,Apertura 2021 Regular Season,Wed,Home,D,1,1,Atlas,58.0,11998.0,Hugo Isaác Rodríguez,5-3-2,Fernando Guerrero,Match Report,,13,4,,0,0,2022,Santos Laguna
5,2021-08-21,19:00,Liga MX,Apertura 2021 Regular Season,Sat,Away,D,1,1,León,38.0,9239.0,Carlos Acevedo,4-4-2,Fernando Hernández,Match Report,,12,3,,1,1,2022,Santos Laguna
6,2021-08-29,18:00,Liga MX,Apertura 2021 Regular Season,Sun,Home,W,2,0,FC Juárez,70.0,11691.0,Dória,4-2-3-1,Óscar Macias,Match Report,,17,7,,0,0,2022,Santos Laguna
7,2021-09-10,19:06,Liga MX,Apertura 2021 Regular Season,Fri,Away,L,1,2,Tijuana,52.0,6333.0,Hugo Isaác Rodríguez,4-2-3-1,Luis Santander,Match Report,,17,5,,0,0,2022,Santos Laguna
8,2021-09-19,21:06,Liga MX,Apertura 2021 Regular Season,Sun,Home,D,1,1,Puebla,60.0,11431.0,Dória,4-2-3-1,César Arturo Ramos,Match Report,,14,4,,0,0,2022,Santos Laguna
9,2021-09-26,19:06,Liga MX,Apertura 2021 Regular Season,Sun,Home,L,1,2,Monterrey,52.0,14484.0,Dória,4-2-3-1,Marco Ortíz,Match Report,,14,4,,1,1,2022,Santos Laguna
10,2021-10-02,19:06,Liga MX,Apertura 2021 Regular Season,Sat,Home,W,1,0,Mazatlán,60.0,11293.0,Dória,4-2-3-1,Erick Miranda,Match Report,,13,3,,1,1,2022,Santos Laguna
11,2021-10-16,19:05,Liga MX,Apertura 2021 Regular Season,Sat,Away,D,1,1,Pachuca,49.0,5503.0,Hugo Isaác Rodríguez,4-3-3,Oscar Mejia,Match Report,,22,3,,1,1,2022,Santos Laguna
12,2021-10-19,19:05,Liga MX,Apertura 2021 Regular Season,Tue,Away,L,1,2,América,54.0,16918.0,Dória,4-2-3-1,Marco Ortíz,Match Report,,10,2,,1,1,2022,Santos Laguna
13,2021-10-24,19:06,Liga MX,Apertura 2021 Regular Season,Sun,Home,D,2,2,Toluca,62.0,12511.0,Dória,4-2-3-1,Jorge Rojas,Match Report,,24,8,,0,0,2022,Santos Laguna
14,2021-10-30,17:00,Liga MX,Apertura 2021 Regular Season,Sat,Away,W,3,2,Querétaro,50.0,13254.0,Carlos Acevedo,4-2-3-1,Jorge Pérez,Match Report,,16,8,,0,0,2022,Santos Laguna
15,2021-11-04,19:00,Liga MX,Apertura 2021 Regular Season,Thu,Away,W,3,0,UNAM,31.0,14190.0,Carlos Acevedo,4-1-3-2,Adonai Escobedo,Match Report,,13,5,,0,0,2022,Santos Laguna
16,2021-11-07,19:06,Liga MX,Apertura 2021 Regular Season,Sun,Home,D,0,0,Atlético,71.0,14658.0,Carlos Acevedo,4-2-3-1,Fernando Guerrero,Match Report,,19,3,,0,0,2022,Santos Laguna
17,2021-11-20,19:00,Liga MX,Reclassification,Sat,Home,W,2,0,Atlético,59.0,10048.0,Carlos Acevedo,4-3-3,César Arturo Ramos,Match Report,,24,8,,1,1,2022,Santos Laguna
18,2021-11-25,21:05,Liga MX,Quarter-finals,Thu,Home,W,2,1,UANL,36.0,15310.0,Carlos Acevedo,4-3-3,Óscar Macias,Match Report,Leg 1 of 2,13,4,,0,0,2022,Santos Laguna
19,2021-11-28,18:00,Liga MX,Quarter-finals,Sun,Away,L,0,1,UANL,39.0,37438.0,Carlos Acevedo,4-2-3-1,Luis Santander,Match Report,Leg 2 of 2; UANL won,7,0,,0,0,2022,Santos Laguna
20,2022-01-12,20:06,Liga MX,Clausura 2022 Regular Season,Wed,Home,D,1,1,UANL,43.0,9377.0,Dória,4-2-3-1,Adonai Escobedo,Match Report,,9,5,,0,0,2022,Santos Laguna
21,2022-01-16,12:00,Liga MX,Clausura 2022 Regular Season,Sun,Away,L,1,3,Toluca,49.0,10023.0,Dória,4-2-3-1,César Arturo Ramos,Match Report,,19,6,,0,0,2022,Santos Laguna
22,2022-01-23,19:00,Liga MX,Clausura 2022 Regular Season,Sun,Home,L,1,4,Necaxa,39.0,9630.0,Dória,4-4-2,Victor Caceres,Match Report,,7,1,,0,0,2022,Santos Laguna
23,2022-02-06,18:00,Liga MX,Clausura 2022 Regular Season,Sun,Away,L,1,2,Atlas,46.0,17346.0,Dória,5-4-1,Jorge Pérez,Match Report,,13,5,,0,0,2022,Santos Laguna
24,2022-02-12,21:00,Liga MX,Clausura 2022 Regular Season,Sat,Home,L,2,3,América,60.0,18774.0,Dória,5-4-1,Luis Santander,Match Report,,15,8,,0,0,2022,Santos Laguna
25,2022-02-18,20:00,Liga MX,Clausura 2022 Regular Season,Fri,Away,D,0,0,FC Juárez,48.0,7355.0,Dória,4-3-1-2,Fernando Hernández,Match Report,,11,3,,0,0,2022,Santos Laguna
26,2022-02-27,19:00,Liga MX,Clausura 2022 Regular Season,Sun,Away,W,2,1,Cruz Azul,37.0,33924.0,Dória,4-4-2,César Arturo Ramos,Match Report,,20,4,,0,0,2022,Santos Laguna
27,2022-03-02,21:00,Liga MX,Clausura 2022 Regular Season,Wed,Home,W,3,2,UNAM,40.0,12238.0,Dória,4-4-2,Óscar Macias,Match Report,,21,4,,1,1,2022,Santos Laguna
28,2022-03-05,21:00,Liga MX,Clausura 2022 Regular Season,Sat,Away,L,0,1,Guadalajara,41.0,18522.0,Dória,4-4-2,Victor Caceres,Match Report,,8,1,,0,0,2022,Santos Laguna
29,2022-03-13,19:00,Liga MX,Clausura 2022 Regular Season,Sun,Home,W,4,0,Tijuana,45.0,9895.0,Carlos Acevedo,4-4-2,Brian Gonzalez,Match Report,,12,6,,0,0,2022,Santos Laguna
30,2022-03-18,21:00,Liga MX,Clausura 2022 Regular Season,Fri,Away,D,2,2,Puebla,38.0,19713.0,Carlos Acevedo,4-4-1-1,Fernando Guerrero,Match Report,,14,5,,0,0,2022,Santos Laguna
31,2022-04-03,19:00,Liga MX,Clausura 2022 Regular Season,Sun,Home,W,3,1,Pachuca,35.0,12908.0,Dória,4-4-1-1,Adonai Escobedo,Match Report,,13,6,,1,1,2022,Santos Laguna
32,2022-04-09,19:06,Liga MX,Clausura 2022 Regular Season,Sat,Away,L,0,1,Monterrey,44.0,29769.0,Dória,4-4-2,Marco Ortíz,Match Report,,13,2,,0,0,2022,Santos Laguna
33,2022-04-16,19:00,Liga MX,Clausura 2022 Regular Season,Sat,Home,D,1,1,Querétaro,52.0,,Dória,4-4-1-1,César Arturo Ramos,Match Report,,19,7,,0,0,2022,Santos Laguna
34,2022-04-19,20:00,Liga MX,Clausura 2022 Regular Season,Tue,Away,L,0,1,Mazatlán,45.0,10960.0,Dória,4-2-2-2,Fernando Hernández,Match Report,,25,6,,0,0,2022,Santos Laguna
35,2022-04-24,19:00,Liga MX,Clausura 2022 Regular Season,Sun,Home,D,1,1,León,43.0,11345.0,Dória,4-2-2-2,Adonai Escobedo,Match Report,,25,12,,0,0,2022,Santos Laguna
36,2022-05-01,16:00,Liga MX,Clausura 2022 Regular Season,Sun,Away,W,3,1,Atlético,37.0,10364.0,Dória,4-2-2-2,Ismael Lopez,Match Report,,12,7,,0,0,2022,Santos Laguna
0,2021-07-25,12:00,Liga MX,Apertura 2021 Regular Season,Sun,Home,D,0,0,Atlas,43.0,,Nicolás Freire,4-2-3-1,Luis Santander,Match Report,,10,3,,0,0,2022,UNAM
1,2021-07-31,21:00,Liga MX,Apertura 2021 Regular Season,Sat,Away,L,0,2,Monterrey,51.0,20943.0,Efraín Velarde,4-1-4-1,Adonai Escobedo,Match Report,,5,3,,0,0,2022,UNAM
2,2021-08-08,12:00,Liga MX,Apertura 2021 Regular Season,Sun,Home,L,1,3,Atlético,63.0,,Efraín Velarde,4-2-3-1,Óscar Macias,Match Report,,11,3,,0,0,2022,UNAM
3,2021-08-14,17:00,Liga MX,Apertura 2021 Regular Season,Sat,Home,D,0,0,Querétaro,41.0,,Nicolás Freire,4-2-3-1,Oscar Mejia,Match Report,,16,3,,0,0,2022,UNAM
4,2021-08-17,21:00,Liga MX,Apertura 2021 Regular Season,Tue,Away,L,0,3,Necaxa,66.0,9242.0,Nicolás Freire,4-3-3,Eduardo Basulto,Match Report,,12,4,,0,0,2022,UNAM
5,2021-08-22,12:00,Liga MX,Apertura 2021 Regular Season,Sun,Home,W,2,0,Puebla,49.0,,Alfredo Talavera,4-3-3,Brian Gonzalez,Match Report,,22,7,,1,1,2022,UNAM
6,2021-08-29,12:00,Liga MX,Apertura 2021 Regular Season,Sun,Away,L,1,2,Toluca,33.0,9566.0,Alfredo Talavera,4-4-2,César Arturo Ramos,Match Report,,9,4,,1,1,2022,UNAM
7,2021-09-12,17:00,Liga MX,Apertura 2021 Regular Season,Sun,Home,D,0,0,Guadalajara,46.0,,Nicolás Freire,4-3-3,Fernando Guerrero,Match Report,,10,3,,0,0,2022,UNAM
8,2021-09-18,20:00,Liga MX,Apertura 2021 Regular Season,Sat,Away,D,2,2,Mazatlán,50.0,7902.0,Alfredo Talavera,4-3-3,Erick Miranda,Match Report,,21,6,,0,0,2022,UNAM
9,2021-09-25,19:00,Liga MX,Apertura 2021 Regular Season,Sat,Away,D,0,0,UANL,36.0,15581.0,Alfredo Talavera,4-3-3,Óscar Macias,Match Report,,17,4,,0,0,2022,UNAM
10,2021-10-03,17:00,Liga MX,Apertura 2021 Regular Season,Sun,Away,L,0,2,América,45.0,27571.0,Alfredo Talavera,4-4-2,Jorge Pérez,Match Report,,12,4,,0,0,2022,UNAM
11,2021-10-17,12:00,Liga MX,Apertura 2021 Regular Season,Sun,Home,W,1,0,FC Juárez,51.0,9000.0,Alfredo Talavera,4-4-2,Adonai Escobedo,Match Report,,15,4,,0,0,2022,UNAM
12,2021-10-20,19:00,Liga MX,Apertura 2021 Regular Season,Wed,Away,W,2,1,León,32.0,12333.0,Alfredo Talavera,4-2-3-1,Erick Miranda,Match Report,,7,2,,0,0,2022,UNAM
13,2021-10-24,12:00,Liga MX,Apertura 2021 Regular Season,Sun,Home,W,3,1,Tijuana,49.0,11981.0,Alfredo Talavera,4-2-3-1,Fernando Hernández,Match Report,,16,3,,0,0,2022,UNAM
14,2021-10-30,20:06,Liga MX,Apertura 2021 Regular Season,Sat,Away,D,1,1,Pachuca,39.0,6887.0,Alfredo Talavera,4-2-3-1,Fernando Guerrero,Match Report,,8,4,,0,0,2022,UNAM
15,2021-11-04,19:00,Liga MX,Apertura 2021 Regular Season,Thu,Home,L,0,3,Santos,69.0,14190.0,Alfredo Talavera,4-3-3,Adonai Escobedo,Match Report,,18,5,,0,1,2022,UNAM
16,2021-11-07,17:00,Liga MX,Apertura 2021 Regular Season,Sun,Home,W,4,3,Cruz Azul,55.0,23573.0,Alfredo Talavera,4-2-3-1,Marco Ortíz,Match Report,,19,8,,0,0,2022,UNAM
17,2021-11-21,17:00,Liga MX,Reclassification,Sun,Away,W,2,1,Toluca,41.0,22595.0,Alfredo Talavera,4-4-2,Fernando Hernández,Match Report,,19,7,,0,0,2022,UNAM
18,2021-11-24,19:00,Liga MX,Quarter-finals,Wed,Home,D,0,0,América,56.0,42784.0,Alfredo Talavera,4-4-2,Jorge Pérez,Match Report,Leg 1 of 2,14,5,,0,0,2022,UNAM
19,2021-11-27,19:00,Liga MX,Quarter-finals,Sat,Away,W,3,1,América,45.0,51302.0,Alfredo Talavera,4-4-2,Marco Ortíz,Match Report,Leg 2 of 2; UNAM won,12,4,,0,0,2022,UNAM
20,2021-12-02,21:00,Liga MX,Semi-finals,Thu,Home,L,0,1,Atlas,55.0,48976.0,Alfredo Talavera,4-4-2,Jorge Rojas,Match Report,Leg 1 of 2,15,3,,0,0,2022,UNAM
21,2021-12-05,19:00,Liga MX,Semi-finals,Sun,Away,W,1,0,Atlas,60.0,42962.0,Alfredo Talavera,5-3-2,Jorge Pérez,Match Report,Leg 2 of 2; Atlas won,7,2,,0,0,2022,UNAM
22,2022-01-10,21:00,Liga MX,Clausura 2022 Regular Season,Mon,Home,W,5,0,Toluca,46.0,8493.0,Alfredo Talavera,4-4-2,Diego Montaño,Match Report,,26,13,,0,0,2022,UNAM
23,2022-01-14,19:00,Liga MX,Clausura 2022 Regular Season,Fri,Away,W,3,1,Querétaro,56.0,13569.0,Alfredo Talavera,3-5-2,Erick Miranda,Match Report,,15,6,,0,0,2022,UNAM
24,2022-01-23,12:00,Liga MX,Clausura 2022 Regular Season,Sun,Home,L,1,2,UANL,39.0,18805.0,Alfredo Talavera,4-4-2,Oscar Mejia,Match Report,,17,8,,0,0,2022,UNAM
25,2022-02-05,19:06,Liga MX,Clausura 2022 Regular Season,Sat,Away,L,0,1,Tijuana,44.0,11633.0,Alfredo Talavera,4-3-3,Diego Montaño,Match Report,,10,2,,0,0,2022,UNAM
26,2022-02-13,12:00,Liga MX,Clausura 2022 Regular Season,Sun,Home,W,2,1,León,37.0,15079.0,Alfredo Talavera,4-3-3,Guillermo Pacheco Larios,Match Report,,12,4,,0,0,2022,UNAM
27,2022-02-20,20:05,Liga MX,Clausura 2022 Regular Season,Sun,Away,D,0,0,Atlas,42.0,20436.0,Alfredo Talavera,5-3-2,Daniel Quintero,Match Report,,11,5,,0,0,2022,UNAM
28,2022-02-26,21:00,Liga MX,Clausura 2022 Regular Season,Sat,Home,D,0,0,América,48.0,42650.0,Alfredo Talavera,4-4-2,Fernando Guerrero,Match Report,,8,2,,0,0,2022,UNAM
29,2022-03-02,21:00,Liga MX,Clausura 2022 Regular Season,Wed,Away,L,2,3,Santos,60.0,12238.0,Alfredo Talavera,4-4-2,Óscar Macias,Match Report,,20,8,,0,0,2022,UNAM
30,2022-03-12,19:00,Liga MX,Clausura 2022 Regular Season,Sat,Away,L,1,2,Cruz Azul,49.0,12686.0,Alfredo Talavera,4-4-2,Fernando Hernández,Match Report,,13,6,,0,0,2022,UNAM
31,2022-03-19,17:00,Liga MX,Clausura 2022 Regular Season,Sat,Home,L,1,3,Necaxa,58.0,10380.0,Alfredo Talavera,4-4-2,Adonai Escobedo,Match Report,,11,6,,0,0,2022,UNAM
32,2022-03-26,17:00,Liga MX,Clausura 2022 Regular Season,Sat,Home,D,1,1,Mazatlán,60.0,9289.0,Nicolás Freire,4-4-2,Luis Santander,Match Report,,20,5,,0,0,2022,UNAM
33,2022-04-02,21:00,Liga MX,Clausura 2022 Regular Season,Sat,Away,W,1,0,FC Juárez,47.0,11748.0,Alfredo Talavera,4-4-2,Fernando Guerrero,Match Report,,19,9,,0,0,2022,UNAM
