Date,Open Price,Close Price,Adj Close,Volume
2022-03-04,368.0,361.730011,361.730011,5325500
2022-03-07,360.410004,350.26001,350.26001,5708400
2022-03-08,349.799988,341.76001,341.76001,6428700
2022-03-09,357.690002,358.790009,358.790009,6520200
2022-03-10,356.200012,356.769989,356.769989,4807800
2022-03-11,361.190002,340.320007,340.320007,4819900
2022-03-14,338.720001,331.01001,331.01001,5907800
2022-03-15,335.100006,343.75,343.75,5460600
2022-03-16,348.200012,357.529999,357.529999,6982500
2022-03-17,359.700012,371.399994,371.399994,5818300
2022-03-18,372.0,380.600006,380.600006,8324800
2022-03-21,378.019989,374.589996,374.589996,4866500
2022-03-22,371.140015,382.920013,382.920013,4242800
2022-03-23,379.769989,374.48999,374.48999,3729000
2022-03-24,379.76001,375.709991,375.709991,3888500
2022-03-25,377.070007,373.850006,373.850006,3574500
2022-03-28,375.230011,378.51001,378.51001,4323400
2022-03-29,384.390015,391.820007,391.820007,5880700
2022-03-30,389.549988,381.470001,381.470001,4023300
2022-03-31,383.589996,374.589996,374.589996,4134700
2022-04-01,376.799988,373.470001,373.470001,4644200
2022-04-04,373.549988,391.5,391.5,7001800
2022-04-05,389.299988,380.149994,380.149994,4234500
2022-04-06,374.149994,368.350006,368.350006,4354900
2022-04-07,365.0,362.149994,362.149994,4948900
2022-04-08,361.959991,355.880005,355.880005,4025200
2022-04-11,350.0,348.0,348.0,3777100
2022-04-12,355.910004,344.100006,344.100006,3824300
2022-04-13,343.920013,350.429993,350.429993,3231000
2022-04-14,350.950012,341.130005,341.130005,4343800
2022-04-18,340.0,337.859985,337.859985,5105000
2022-04-19,333.220001,348.609985,348.609985,20906900
2022-04-20,245.199997,226.190002,226.190002,133387500
2022-04-21,220.0,218.220001,218.220001,53501600
2022-04-22,220.179993,215.520004,215.520004,37515100
2022-04-25,213.809998,209.910004,209.910004,28152000
2022-04-26,208.800003,198.399994,198.399994,20318100
2022-04-27,194.009995,188.539993,188.539993,22298400
2022-04-28,191.559998,199.520004,199.520004,21363200
2022-04-29,198.679993,190.360001,190.360001,16391900
2022-05-02,191.710007,199.460007,199.460007,14591600
2022-05-03,198.289993,199.869995,199.869995,11839400
2022-05-04,197.649994,204.009995,204.009995,12218800
2022-05-05,200.449997,188.320007,188.320007,13971300
2022-05-06,186.75,180.970001,180.970001,17185500
2022-05-09,177.660004,173.100006,173.100006,14031300
2022-05-10,176.009995,177.660004,177.660004,13883900
2022-05-11,176.089996,166.369995,166.369995,12665500
2022-05-12,163.960007,174.309998,174.309998,17662100
2022-05-13,177.160004,187.639999,187.639999,13136300
2022-05-16,193.300003,186.509995,186.509995,16145000
2022-05-17,189.169998,190.559998,190.559998,9876700
2022-05-18,186.720001,177.190002,177.190002,9665600
2022-05-19,178.050003,183.479996,183.479996,10448500
2022-05-20,185.869995,186.350006,186.350006,10429400
2022-05-23,186.149994,187.440002,187.440002,9602000
2022-05-24,182.0,180.339996,180.339996,7706400
2022-05-25,180.279999,187.830002,187.830002,8522100
2022-05-26,186.490005,191.399994,191.399994,8049900
2022-05-27,193.190002,195.190002,195.190002,8586000
2022-05-31,196.179993,197.440002,197.440002,11398500
2022-06-01,198.699997,192.910004,192.910004,8416200
2022-06-02,192.020004,205.089996,205.089996,9623100
2022-06-03,200.139999,198.979996,198.979996,7191800
2022-06-06,202.089996,197.139999,197.139999,5372000
2022-06-07,194.869995,198.610001,198.610001,4839500
2022-06-08,197.949997,202.830002,202.830002,7244100
2022-06-09,200.649994,192.770004,192.770004,6949000
2022-06-10,182.639999,182.940002,182.940002,13065600
2022-06-13,177.070007,169.690002,169.690002,10222400
2022-06-14,169.75,167.539993,167.539993,11555300
2022-06-15,169.259995,180.110001,180.110001,12396000
2022-06-16,174.0,173.350006,173.350006,8201300
2022-06-17,173.630005,175.509995,175.509995,12133400
2022-06-21,177.600006,170.910004,170.910004,12177600
2022-06-22,170.75,178.889999,178.889999,11992400
2022-06-23,180.5,181.710007,181.710007,9538200
2022-06-24,183.5,190.850006,190.850006,12424000
2022-06-27,191.770004,189.139999,189.139999,8363900
2022-06-28,189.199997,179.600006,179.600006,7185400
2022-06-29,179.550003,178.360001,178.360001,5766800
2022-06-30,177.070007,174.869995,174.869995,7894700
2022-07-01,176.490005,179.949997,179.949997,5201600
2022-07-05,176.279999,185.880005,185.880005,7334300
2022-07-06,185.199997,184.059998,184.059998,5753400
2022-07-07,184.270004,189.270004,189.270004,6334500
2022-07-08,186.020004,186.979996,186.979996,5835700
2022-07-11,184.729996,177.339996,177.339996,6038800
2022-07-12,177.330002,174.449997,174.449997,6845300
2022-07-13,170.5,176.559998,176.559998,12734400
2022-07-14,175.559998,174.779999,174.779999,9039500
2022-07-15,175.580002,189.110001,189.110001,16319100
2022-07-18,192.5,190.919998,190.919998,16322800
2022-07-19,193.020004,201.630005,201.630005,28178700
2022-07-20,208.169998,216.440002,216.440002,53920300
2022-07-21,214.300003,223.880005,223.880005,23430100
2022-07-22,222.380005,220.440002,220.440002,17805500
2022-07-25,221.309998,218.509995,218.509995,10935200
2022-07-26,216.660004,213.910004,213.910004,9508500
2022-07-27,216.479996,226.75,226.75,10508400
2022-07-28,224.600006,226.020004,226.020004,8972700
2022-07-29,223.289993,224.899994,224.899994,9060500
2022-08-01,223.100006,226.210007,226.210007,5525000
2022-08-02,222.759995,221.419998,221.419998,6361300
2022-08-03,224.789993,226.729996,226.729996,6400700
2022-08-04,227.679993,229.910004,229.910004,7142700
2022-08-05,225.300003,226.779999,226.779999,5533200
2022-08-08,227.490005,233.490005,233.490005,10982100
2022-08-09,231.619995,229.940002,229.940002,6181200
2022-08-10,236.990005,244.110001,244.110001,9254800
2022-08-11,244.679993,242.699997,242.699997,8780100
